202042	202052	202010
202106	202003	202104
202002	202106	202047
202013	202097	202038
202057	202040	202036
202016	202012	202088
202023	202062	202089
202044	202048	202025
202051	202028	202031
202099	202046	202106
202016	202072	202025
202097	202020	202050
202081	202030	202033
202035	202088	202063
202012	202006	202040
202061	202048	202058
202080	202077	202089
202030	202066	202081
202074	202069	202013
202051	202056	202108
202108	202085	202086
202007	202062	202089
202085	202056	202022
202012	202076	202008
202067	202054	202105
202065	202094	202007
202031	202010	202101
202024	202085	202056
202066	202081	202019
202028	202063	202091
202096	202086	202022
202030	202066	202014
202057	202012	202005
202091	202073	202063
202108	202053	202022
202045	202106	202098
202101	202004	202014
202097	202074	202013
202082	202057	202016
202097	202013	202020
202001	202052	202003
202028	202037	202042
202008	202048	202076
202106	202037	202083
202030	202014	202093
202081	202033	202101
202058	202068	202017
202062	202089	202105
202013	202074	202020
202010	202021	202053
202072	202081	202002
202051	202108	202036
202026	202067	202105
202085	202084	202024
202040	202109	202005
202068	202048	202064
202065	202054	202027
202083	202018	202098
202017	202071	202070
202049	202089	202023
202091	202073	202035
202074	202068	202020
202094	202059	202027
202030	202081	202033
202026	202054	202099
202058	202064	202048
202020	202074	202064
202061	202017	202071
202061	202017	202003
202104	202012	202052
202091	202063	202035
202064	202020	202013
202035	202002	202019
202050	202058	202025
202095	202087	202021
202106	202002	202104
202070	202006	202092
202062	202018	202021
202030	202014	202066
202040	202063	202091
202060	202057	202007
202056	202022	202086
202024	202056	202108
202032	202022	202084
202095	202077	202018
202073	202015	202063
202062	202049	202007
202078	202081	202033
202063	202073	202035
202109	202040	202082
202105	202026	202046
202065	202027	202024
202087	202077	202018
202032	202022	202086
202013	202041	202020
202077	202037	202060
202067	202054	202007
202029	202075	202043
202038	202047	202014
202012	202008	202044
202002	202072	202078
202026	202093	202049
202002	202003	202078
202048	202061	202071
202036	202022	202085
202092	202057	202040
